Confirmados,Obitos,Recuperados,Ativos,Data
1351439,57753,746018,540503,2020-06-28
1372989,58475,757811,552070,2020-06-29
1412669,59792,788318,554129,2020-06-30
1459494,60878,817642,570479,2020-07-01
1503895,62137,957692,477282,2020-07-02
1546935,63350,984615,491292,2020-07-03
1580502,64410,990731,522008,2020-07-04
1605695,64968,1029045,509143,2020-07-05
1630149,65653,1062542,495255,2020-07-06
1676848,66953,1107012,494836,2020-07-07
1722098,68126,1139844,505352,2020-07-08
1765060,69348,1171447,515148,2020-07-09
1809371,70646,1217361,513068,2020-07-10
1844318,71578,1244088,524293,2020-07-11
1867976,72195,1264843,527738,2020-07-12
1890869,73030,1291251,520883,2020-07-13
1933791,74324,1323425,529266,2020-07-14
1973933,75604,1350098,541284,2020-07-15
2017616,76903,1397531,537932,2020-07-16
2052234,78026,1428520,539957,2020-07-17
2077987,78870,1447408,548680,2020-07-18
2101399,79578,1459072,559829,2020-07-19
2124152,80346,1514300,524226,2020-07-20
2171079,81663,1555339,522828,2020-07-21
2237229,82959,1591975,552768,2020-07-22
2294555,84272,1620313,583080,2020-07-23
2351458,85437,1693214,564914,2020-07-24
2398993,86536,1785359,522705,2020-07-25
2421666,87117,1812913,519174,2020-07-26
2449677,87802,1846641,508116,2020-07-27
2503681,89060,1868749,525903,2020-07-28
2559132,90259,1922802,539329,2020-07-29
2617187,91461,1956807,562032,2020-07-30
2670451,92728,2008854,561156,2020-07-31
2711992,93669,2037982,576332,2020-08-01
2736058,94193,2062876,576697,2020-08-02
2756164,94795,2098976,556677,2020-08-03
2812447,96153,2157484,548618,2020-08-04
2868616,97519,2190361,571456,2020-08-05
2922605,98745,2230542,583177,2020-08-06
2972008,99830,2272299,590571,2020-08-07
3018397,100657,2321537,590398,2020-08-08
3041127,101226,2356983,577390,2020-08-09
3067633,102015,2390830,564888,2020-08-10
3118153,103209,2449338,557266,2020-08-11
3173107,104393,2506228,554356,2020-08-12
3233820,105635,2521100,598313,2020-08-13
3283227,106642,2616981,552016,2020-08-14
3320108,107365,2622878,586986,2020-08-15
3343114,107952,2655017,577328,2020-08-16
3367511,108748,2699080,551954,2020-08-17
3416775,110100,2751246,546220,2020-08-18
3465378,111263,2801931,543621,2020-08-19
3508352,112500,2844318,545353,2020-08-20
3540678,113551,2855558,563414,2020-08-21
3586586,114379,2913966,554146,2020-08-22
3608459,114834,2947784,543255,2020-08-23
3631972,115557,2976256,531296,2020-08-24
3678279,116760,3032551,520864,2020-08-25
3726431,117839,3082447,517044,2020-08-26
3768691,118824,3122846,519896,2020-08-27
3812779,119673,3158783,526516,2020-08-28
3850070,120570,3202185,523706,2020-08-29
3864604,120971,3237615,503868,2020-08-30
3914829,121618,3268591,518300,2020-08-31
3959158,122768,3345240,483095,2020-09-01
4005611,123972,3387309,486776,2020-09-02
4052420,124839,3429435,487589,2020-09-03
4091959,125688,3464278,502021,2020-09-04
4125816,126292,3498999,497798,2020-09-05
4140488,126750,3522155,488716,2020-09-06
4150004,127070,3549201,471633,2020-09-07
4168790,127595,3572421,462188,2020-09-08
4205877,128752,3611632,457718,2020-09-09
4246638,129726,3657701,451223,2020-09-10
4288171,130574,3695158,456610,2020-09-11
4318971,131341,3723206,461271,2020-09-12
4332991,131746,3723206,475624,2020-09-13
4353602,132204,3770138,443466,2020-09-14
4388154,133286,3811505,437639,2020-09-15
4425451,134248,3845464,439513,2020-09-16
4461856,135117,3873934,446517,2020-09-17
4501587,135945,3897539,461851,2020-09-18
4531145,136626,3936893,454815,2020-09-19
4546587,136977,3963446,444288,2020-09-20
4564222,137443,3993432,427336,2020-09-21
4599189,138237,4016831,436428,2020-09-22
4631915,139169,4046827,406432,2020-09-23
4663930,139964,4102954,414940,2020-09-24
4696240,140786,4128490,420586,2020-09-25
4720958,141508,4153307,423278,2020-09-26
4734745,141847,4172711,417857,2020-09-27
4751616,142238,4197372,406034,2020-09-28
4784464,143096,4237152,397449,2020-09-29
4817365,144078,4274774,392209,2020-09-30
4853148,144851,4299659,402753,2020-10-01
4885966,145505,4299659,402753,2020-10-02
4908974,146093,4361108,399738,2020-10-03
4917689,146451,4375354,393583,2020-10-04
4943742,146844,4397882,382678,2020-10-05
4975268,147654,4430340,391307,2020-10-06
5006206,148379,4457172,395294,2020-10-07
5033036,149114,4488092,391395,2020-10-08
5060769,149768,4502854,403395,2020-10-09
5084513,150302,4502854,429585,2020-10-10
5096704,150580,4526393,418098,2020-10-11
5105340,150774,4526393,426326,2020-10-12
5118699,151152,4526393,436237,2020-10-13
5146543,151884,4526393,462723,2020-10-14
5176969,152698,4526393,490533,2020-10-15
5205565,153341,4526393,520693,2020-10-16
5226341,153756,4526393,544294,2020-10-17
5238392,153991,4526393,544294,2020-10-18
5254971,154317,4526393,570158,2020-10-19
5278737,154965,4526393,592724,2020-10-20
5304593,155536,4526393,616976,2020-10-21
5329357,156041,4526393,641337,2020-10-22
5359358,156604,4526393,670792,2020-10-23
5384342,156991,4526393,697339,2020-10-24
5396596,157224,4526393,710601,2020-10-25
5415207,157526,4526393,726064,2020-10-26
5445189,158052,4914733,366962,2020-10-27
5473540,158556,4947777,362037,2020-10-28
5500240,159107,4962574,372833,2020-10-29
5524593,159680,4987435,369746,2020-10-30
5537763,159972,5005161,370560,2020-10-31
5547951,160175,5022338,363293,2020-11-01
5556200,160340,5039438,354515,2020-11-02
5570782,160628,5060697,344856,2020-11-03
5594098,161246,5078162,350757,2020-11-04
5617943,161849,5078162,350757,2020-11-05
5638143,162120,5118156,351010,2020-11-06
5655887,162348,5138641,352651,2020-11-07
5666389,162538,5147172,354546,2020-11-08
5679803,162724,5163226,349178,2020-11-09
5726227,162922,5183970,352233,2020-11-10
5752474,163496,5222937,361355,2020-11-11
5786393,164429,5254457,362844,2020-11-12
5825111,165005,5274812,371103,2020-11-13
5851389,165739,5279452,403849,2020-11-14
5865295,165879,5279452,417843,2020-11-15
5881039,166136,5335498,374952,2020-11-16
5916529,166814,5358299,386760,2020-11-17
5951281,167568,5383385,395009,2020-11-18
5987143,168218,5406066,407640,2020-11-19
6025913,168731,5430896,420655,2020-11-20
6056135,169088,5437189,446608,2020-11-21
6074061,169266,5457973,444245,2020-11-22
6092219,169621,5481184,436939,2020-11-23
6126752,170248,5509645,438948,2020-11-24
6171380,170871,5534010,461827,2020-11-25
6212265,171581,5556887,475873,2020-11-26
6245773,172140,5581436,484940,2020-11-27
6297258,172684,5581436,536275,2020-11-28
6318270,172917,5581436,560471,2020-11-29
6341965,173268,5597802,564956,2020-11-30
6393950,173953,5712305,500665,2020-12-01
6442425,174632,5759294,502841,2020-12-02
6492564,175393,5792539,519275,2020-12-03
6540235,176071,5825745,532259,2020-12-04
6580517,176718,5864838,535711,2020-12-05
6606947,177058,5866657,559942,2020-12-06
6633971,177483,5897526,549068,2020-12-07
6681767,178281,5965492,531348,2020-12-08
6736358,179134,5966118,583339,2020-12-09
6789908,179903,6043219,558815,2020-12-10
6842458,180564,6078287,577503,2020-12-11
6884782,181241,6078287,620717,2020-12-12
6906811,181536,6138349,582201,2020-12-13
6934191,182049,6158049,587261,2020-12-14
6982223,182983,6206483,580752,2020-12-15
7048347,183924,6239192,617681,2020-12-16
7117046,184985,6301547,624060,2020-12-17
7169899,185802,6322955,654373,2020-12-18
7218141,186461,6388938,637861,2020-12-19
7242625,186880,6408517,643319,2020-12-20
7270270,187441,6469310,607018,2020-12-21
7326935,188410,6501341,629221,2020-12-22
7372614,189375,6512717,663580,2020-12-23
7430825,190135,6512717,721246,2020-12-24
7452008,190617,6512717,745355,2020-12-25
7469541,190913,6654189,620822,2020-12-26
7487155,191250,6677235,615911,2020-12-27
7514592,191788,6712757,600506,2020-12-28
7570963,192839,6754111,616759,2020-12-29
7626563,194056,6814092,611233,2020-12-30
7681032,195072,6848844,632180,2020-12-31
7703971,195541,6855372,649795,2021-01-01
7719324,195834,6893256,627424,2021-01-02
7736514,196145,6904172,633556,2021-01-03
7761553,196742,6950045,607146,2021-01-04
7819636,197930,6994845,617823,2021-01-05
7882143,199161,7033286,641570,2021-01-06
7970112,200679,7081521,679654,2021-01-07
8029698,201760,7136817,675431,2021-01-08
8081091,202769,7205410,667957,2021-01-09
8110118,203259,7231336,671354,2021-01-10
8140865,203750,7273237,654795,2021-01-11
8205289,204875,7284945,706002,2021-01-12
8265116,206139,7347080,703492,2021-01-13
8333445,207293,7394739,722460,2021-01-14
8402542,208428,7438075,747171,2021-01-15
8460987,209442,7485823,759940,2021-01-16
8492403,209993,7509009,769243,2021-01-17
8521336,210469,7560460,741011,2021-01-18
8583485,211629,7618080,744293,2021-01-19
8647962,213024,7618080,807338,2021-01-20
8706912,214371,7673092,810129,2021-01-21
8763517,215442,7746910,791767,2021-01-22
8821815,216587,7775928,823881,2021-01-23
8850334,217182,7821376,806164,2021-01-24
8880864,217872,7864969,788760,2021-01-25
8942472,219027,7896290,818188,2021-01-26
9007244,220363,7964176,812539,2021-01-27
9068004,221801,7979513,857627,2021-01-28
9127507,222888,8066603,829244,2021-01-29
9180621,224080,8148671,804359,2021-01-30
9208521,224648,8176373,803854,2021-01-31
9237011,225271,8202354,801869,2021-02-01
9293289,226532,8258074,799035,2021-02-02
9347703,227731,8311881,799976,2021-02-03
9404810,229007,8366197,801301,2021-02-04
9456500,230258,8396148,820983,2021-02-05
9502810,231195,8428992,788139,2021-02-06
9528972,231684,8467982,825124,2021-02-07
9557558,232405,8478818,814288,2021-02-08
9608775,233720,8577207,788838,2021-02-09
9669883,235081,8616282,808035,2021-02-10
9723487,236523,8637050,840658,2021-02-11
9772429,237743,8691664,836302,2021-02-12
9817285,238768,8740445,830777,2021-02-13
9848008,239421,8765048,830220,2021-02-14
9873816,240032,8821887,805050,2021-02-15
9939100,241124,8847264,833777,2021-02-16
9986325,242313,8933402,803255,2021-02-17
10039804,243752,8960755,826414,2021-02-18
10091961,245083,8988618,850853,2021-02-19
10144332,246114,9070505,822666,2021-02-20
10173817,246720,9095692,825978,2021-02-21
10205663,247431,9108205,839812,2021-02-22
10269248,248790,9189903,819443,2021-02-23
10334634,250236,9214337,860169,2021-02-24
